date,week_label,theme,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-01-08,2025-01-08,마이데이터,2.497151512020367,12,40,0.2876816811244636,True
2025-01-08,2025-01-08,웹툰,0.0,18,97,0.33903767606769447,False
2025-01-08,2025-01-08,재택근무/스마트워크,0.0,17,54,0.1910554419353166,False
2025-01-08,2025-01-08,화폐/금융자동화기기(디지털화폐 등),0.6660235034191123,13,39,0.25835333534685834,True
2025-01-08,2025-01-08,키오스크(KIOSK),0.0,13,41,,False
2025-01-08,2025-01-08,日 수출 규제(국산화 등),6.760139409967963,23,185,0.3727788444139156,True
2025-01-08,2025-01-08,PCB(FPCB 등),6.877362494222351,35,463,0.4043869071284403,True
2025-01-08,2025-01-08,밥솥,0.0,5,4,0.23233804849290624,False
2025-01-08,2025-01-08,캐릭터상품,0.0,10,21,0.23843337889113947,False
2025-01-08,2025-01-08,엔젤산업,0.9533886424757718,25,153,0.24833848097729103,True
2025-01-08,2025-01-08,출산장려정책,0.0,21,93,0.2344693958085524,False
2025-01-08,2025-01-08,야놀자(Yanolja),4.445394535535281e-16,6,5,0.1959969950827963,True
2025-01-08,2025-01-08,"스포츠행사 수혜(올림픽, 월드컵 등)",0.0,9,22,0.36004820736674886,False
2025-01-08,2025-01-08,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),3.921523181763845,18,108,0.36701645585783654,True
2025-01-08,2025-01-08,시멘트/레미콘,0.0,15,58,0.3021787003494573,False
2025-01-08,2025-01-08,보안주(정보),0.0,51,639,,False
2025-01-08,2025-01-08,아스콘(아스팔트 콘크리트),5.999999999999999,8,26,0.4654569653031203,True
2025-01-08,2025-01-08,공작기계,0.40826198447814444,14,44,0.23337886574489608,True
2025-01-08,2025-01-08,3D 낸드(NAND),4.9370801992305395,21,181,0.4830068137337195,True
2025-01-08,2025-01-08,HBM(고대역폭메모리),0.0,35,481,,False
2025-01-08,2025-01-08,CXL(컴퓨트익스프레스링크),3.7887055168133292,15,84,0.4682784913549542,True
2025-01-08,2025-01-08,"백신/진단시약/방역(신종플루, AI 등)",6.914980862542676,47,871,0.39135365630365576,True
2025-01-08,2025-01-08,강관업체(Steel pipe),0.9999999999999992,12,45,0.3403060697183752,True
2025-01-08,2025-01-08,조림사업,0.0,12,26,0.11687443013055171,False
2025-01-08,2025-01-08,남-북-러 가스관사업,0.9893456439732788,18,110,0.3501596996576641,True
2025-01-08,2025-01-08,여행,0.8443088325754196,9,20,0.30506572832107404,True
