theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
NFT(대체불가토큰),"LARGE_DECREASE, DISCONNECTION",0.0,9.793032923403722,-9.793032923403722,-100.0,22,"FSN, NAVER, 갤럭시아머니트리, 갤럭시아에스엠, 다날, 미투온, 빌리언스, 삼성전자, 서울옥션, 아톤"
가상화폐(비트코인 등),"LARGE_DECREASE, DISCONNECTION",0.0,14.09218781564226,-14.09218781564226,-100.0,31,"FSN, KG모빌리언스, SBI인베스트먼트, SG, SGA, SGA솔루션즈, TS인베스트먼트, 감성코퍼레이션, 갤럭시아머니트리, 네오위즈"
광고,"LARGE_DECREASE, DISCONNECTION",0.0,12.10507819312389,-12.10507819312389,-100.0,26,"FSN, HS애드, KT, KT나스미디어, SM C&C, YG PLUS, 드림인사이트, 레뷰코퍼레이션, 레이, 모비데이즈"
코로나19(음압병실/음압구급차),"LARGE_DECREASE, DISCONNECTION",0.0,3.1980622641951637,-3.1980622641951637,-100.0,7,"GH신소재, 신성이엔지, 에스와이, 엔브이에이치코리아, 오텍, 우정바이오, 케이엔솔"
카지노,LARGE_INCREASE,4.0,1.829913513373968,2.1700864866260323,118.5895656142163,6,"GKL, 강원랜드, 롯데관광개발, 코텍, 토비스, 파라다이스"
국내 상장 중국기업,"LARGE_DECREASE, DISCONNECTION",0.0,4.806731348067004,-4.806731348067004,-100.0,13,"GRT, 글로벌에스엠, 레이, 로스웰, 씨엑스아이, 에스엠, 오가닉티코스메틱, 윙입푸드, 이스트아시아홀딩스, 컬러레이"
인터넷은행,"LARGE_DECREASE, DISCONNECTION",0.0,18.031593635289045,-18.031593635289045,-100.0,34,"GS, GS리테일, KB금융, KG모빌리언스, KG이니시스, KT, NH투자증권, NICE, NICE평가정보, 드림시큐리티"
호텔/리조트,LARGE_DECREASE,0.9554918512401492,7.742391253045373,-6.786899401805224,-87.65895677431287,16,"GS, GS피앤엘, HDC, HDC현대산업개발, SK, SK네트웍스, 강원랜드, 레이, 롯데관광개발, 모나용평"
자원개발,"LARGE_DECREASE, DISCONNECTION",0.0,9.34628639051905,-9.34628639051905,-100.0,16,"GS, GS글로벌, LX인터내셔널, SK, SK이노베이션, 대성산업, 레이, 비엘팜텍, 삼성물산, 서울가스"
콜드체인(저온 유통),"LARGE_DECREASE, DISCONNECTION",0.0,5.546311004013876,-5.546311004013876,-100.0,14,"GS, GST, HLB, HLB테라퓨틱스, 대창, 대창솔루션, 대한과학, 동아쏘시오홀딩스, 서린바이오, 아이텍"
종합상사,LARGE_DECREASE,2.8106810832243694,7.709836328998055,-4.899155245773685,-63.544218537390975,13,"GS, GS글로벌, LX인터내셔널, SK, SK네트웍스, 레이, 삼성물산, 코오롱, 코오롱글로벌, 포스코인터내셔널"
UAM(도심항공모빌리티),"LARGE_DECREASE, DISCONNECTION",0.0,15.289244031070794,-15.289244031070794,-100.0,30,"GS, KT, LG, LG유플러스, LIG넥스원, SK, SK텔레콤, 기산텔레콤, 남성, 네온테크"
모듈러주택,"LARGE_DECREASE, DISCONNECTION",0.0,5.49618145455158,-5.49618145455158,-100.0,11,"GS, GS건설, POSCO홀딩스, 금강공업, 덕신이피씨, 삼성물산, 에스와이, 자연과환경, 코오롱, 코오롱글로벌"
윤활유,LARGE_DECREASE,0.8901772229726951,3.7716717840533662,-2.8814945610806713,-76.39833808614085,8,"GS, S-Oil, SK, SK이노베이션, 극동유화, 미창석유, 한국쉘석유, 흥구석유"
LNG(액화천연가스),"LARGE_DECREASE, DISCONNECTION",0.0,14.752308170221957,-14.752308170221957,-100.0,29,"GS, HD한국조선해양, HD현대, HD현대미포, HD현대인프라코어, HJ중공업, POSCO홀딩스, SK, SK가스, SK오션플랜트"
유리 기판,LARGE_DECREASE,4.982182705463732,10.171146337453177,-5.188963631989445,-51.01650747941894,21,"HB테크놀러지, SK, SKC, 기가비스, 나인테크, 램테크놀러지, 레이, 미래컴퍼니, 삼성전기, 씨앤지하이테크"
2차전지(장비),"LARGE_DECREASE, DISCONNECTION",0.0,24.183533905509663,-24.183533905509663,-100.0,52,"HB테크놀러지, 강원에너지, 나인테크, 대보마그네틱, 대성하이텍, 디아이, 디아이티, 디에스케이, 디이엔티, 레이"
면세점,"LARGE_DECREASE, DISCONNECTION",0.0,3.0000000000000027,-3.0000000000000027,-100.0,8,"HDC, JTC, 글로벌텍스프리, 신세계, 토니모리, 한국정보통신, 현대백화점, 호텔신라"
철도,LARGE_DECREASE,0.9046407187665343,24.951133396512148,-24.046492677745615,-96.37435019728206,47,"HDC, HDC랩스, 국영지앤엠, 남광토건, 다원시스, 대아티아이, 대양전기공업, 대원, 대원전선, 대호에이엘"
재난/안전(지진/화재 등),LARGE_DECREASE,0.6638619309371168,12.082325741167509,-11.418463810230392,-94.50551205820274,25,"HDC, HDC현대EP, HRS, LS, LS마린솔루션, 대창, 대창스틸, 동아지질, 동양, 동양파일"
사물인터넷,LARGE_INCREASE,0.8219121430029761,1.9441064249412468e-41,0.8219121430029761,4.227711674929603e+42,34,"HDC, HDC랩스, LG, LG유플러스, SG, SGA, SGA솔루션즈, 가온그룹, 기가레인, 누리플렉스"
방위산업/전쟁 및 테러,LARGE_DECREASE,2.7764074359767275,31.31514225425381,-28.538734818277085,-91.13397789020236,59,"HD한국조선해양, HJ중공업, LIG넥스원, RF머트리얼즈, RF시스템즈, SNT다이내믹스, SNT모티브, STX엔진, YTN, 국영지앤엠"
