tickers,market,name,naverTheme,-1,0,1,mmt
373220,KOSPI,LG에너지솔루션,"['니켈', '2차전지(LFP/리튬인산철)', '2차전지(전고체)', '2차전지(생산)', '폐배터리', '리튬', '2차전지', '스페이스X(SpaceX)', '전기차', '전력저장장치(ESS)', '2차전지(나트륨이온)', '밸류업(24년 기업가치 제고계획 발표)']",0.0,1.0,0.0,dn/dnk
32640,KOSPI,LG유플러스,"['4차산업 수혜주', 'UAM(도심항공모빌리티)', '스마트홈(홈네트워크)', '메타버스(Metaverse)', '5G(5세대 이동통신)', '양자암호/양자컴퓨팅', '통신', '전기차(충전소/충전기)', '밸류업(24년 기업가치 제고계획 발표)', '사물인터넷']",0.0,0.0,1.0,dn/dnk
11070,KOSPI,LG이노텍,"['휴대폰부품', '스마트폰', '메타버스(Metaverse)', '카메라모듈/부품', '자율주행차', '아이폰', '자동차부품', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '무선충전기술', '스마트카(SMART CAR)']",0.14,0.856,0.003,dn/dnk
66570,KOSPI,LG전자,"['4차산업 수혜주', '지능형로봇/인공지능(AI)', '스마트홈(홈네트워크)', '제습기', '자율주행차', '공기청정기', '5G(5세대 이동통신)', '냉각시스템(액침냉각 등)', '전기차', 'IT 대표주', '전력저장장치(ESS)', '가상현실(VR)', '밸류업(24년 기업가치 제고계획 발표)', '무선충전기술', 'OLED(유기 발광 다이오드)', '마이크로 LED', 'LED']",0.999,0.001,0.0,dn/dnk
37560,KOSPI,LG헬로비전,['전기차(충전소/충전기)'],0.028,0.905,0.067,dn/dnk
51910,KOSPI,LG화학,"['니켈', '리튬', '고령화 사회(노인복지)', '2차전지', '아이폰', '석유화학', '비만치료제', '2차전지(소재/부품)', '전기차', '바이오시밀러(복제 바이오의약품)', '밸류업(24년 기업가치 제고계획 발표)', '탄소나노튜브(CNT)', '폴더블폰', 'OLED(유기 발광 다이오드)']",0.939,0.061,0.0,dn/dnk
79550,KOSPI,LIG넥스원,"['로봇(산업용/협동로봇 등)', 'UAM(도심항공모빌리티)', '우주항공산업(누리호/인공위성 등)', '방위산업/전쟁 및 테러', '드론(Drone)', '코리아 밸류업 지수(Korea Value-up Index)', '항공기부품']",0.028,0.005,0.967,dn/dnk
225190,KOSDAQ,LK삼양,"['우주항공산업(누리호/인공위성 등)', '카메라모듈/부품', '전기차 화재 방지(배터리 열폭주 등)']",0.022,0.013,0.965,dn/dnk
6260,KOSPI,LS,"['로봇(산업용/협동로봇 등)', '스마트팩토리(스마트공장)', '증권', '스마트그리드(지능형전력망)', '희귀금속(희토류 등)', '풍력에너지', '5G(5세대 이동통신)', '수소차(연료전지/부품/충전소 등)', '전기차', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '통신장비', '패션/의류', '태양광에너지', '고체산화물 연료전지(SOFC)', '무선충전기술', '지주사', '네옴시티', '재난/안전(지진/화재 등)', '원자력발전', '초전도체', '전선', '전력설비', '해저터널(지하화/지하도로 등)']",0.0,0.0,1.0,dn/dnk
10120,KOSPI,LS ELECTRIC,"['스마트팩토리(스마트공장)', '스마트그리드(지능형전력망)', '수소차(연료전지/부품/충전소 등)', '전기차', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '태양광에너지', '원자력발전', '초전도체', '전력설비']",0.0,0.0,1.0,dn/dnk
